code,entry,exit,entry_p,exit_p,pnl,days,win,bin,month
sh600585,2025-12-25 14:00:00,2025-12-30 11:30:00,22.41,21.99,-1.87,4,0,-2~0%,2025-12
sh600585,2026-01-05 11:30:00,2026-01-16 14:00:00,22.2,22.19,-0.05,11,0,-2~0%,2026-01
sh600585,2026-01-20 11:30:00,2026-02-02 14:00:00,23.17,23.73,2.42,13,1,2~5%,2026-02
sh600585,2026-02-04 11:30:00,2026-02-27 14:00:00,25.06,25.28,0.88,23,1,0~2%,2026-02
sh600585,2026-03-13 11:30:00,2026-03-18 14:00:00,25.68,24.51,-4.56,5,0,-5~-2%,2026-03
sh600585,2026-05-11 11:30:00,2026-05-15 11:30:00,21.47,20.59,-4.1,4,0,-5~-2%,2026-05
sh600585,2026-05-29 11:30:00,2026-06-03 14:00:00,19.91,19.64,-1.36,5,0,-2~0%,2026-06
sz000002,2025-06-16 14:00:00,2025-06-19 11:30:00,6.61,6.34,-4.08,2,0,-5~-2%,2025-06
sz000002,2025-06-25 15:00:00,2025-07-15 11:30:00,6.4,6.51,1.72,19,1,0~2%,2025-07
sz000002,2025-07-22 15:00:00,2025-07-31 11:30:00,6.68,6.48,-2.99,8,0,-5~-2%,2025-07
sz000002,2025-08-11 14:00:00,2025-08-27 15:00:00,6.52,6.82,4.6,16,1,2~5%,2025-08
sz000002,2025-09-08 11:30:00,2025-09-19 10:30:00,6.75,6.75,0.0,10,0,-2~0%,2025-09
sz000002,2025-09-22 14:00:00,2025-10-13 11:30:00,7.03,6.62,-5.83,20,0,-10~-5%,2025-10
sz000002,2025-11-11 11:30:00,2025-11-18 14:00:00,6.27,6.16,-1.75,7,0,-2~0%,2025-11
sz000002,2025-11-20 14:00:00,2025-11-25 10:30:00,6.26,6.05,-3.35,4,0,-5~-2%,2025-11
sz000002,2025-12-10 15:00:00,2025-12-15 11:30:00,5.25,4.91,-6.48,4,0,-10~-5%,2025-12
sz000002,2026-01-05 14:00:00,2026-01-15 10:30:00,4.74,4.71,-0.63,9,0,-2~0%,2026-01
sz000002,2026-01-21 11:30:00,2026-01-27 11:30:00,4.93,4.73,-4.06,6,0,-5~-2%,2026-01
sz000002,2026-01-29 11:30:00,2026-02-02 11:30:00,5.09,4.75,-6.68,4,0,-10~-5%,2026-02
sz000002,2026-02-05 10:30:00,2026-02-27 10:30:00,4.86,4.83,-0.62,22,0,-2~0%,2026-02
sz000002,2026-03-17 11:30:00,2026-03-19 11:30:00,4.73,4.55,-3.81,2,0,-5~-2%,2026-03
sz000002,2026-04-08 14:00:00,2026-04-22 11:30:00,3.93,3.86,-1.78,13,0,-2~0%,2026-04
sz000002,2026-04-29 11:30:00,2026-05-14 11:30:00,3.86,3.91,1.3,15,1,0~2%,2026-05
sz000002,2026-05-29 11:30:00,2026-06-02 14:00:00,3.64,3.39,-6.87,4,0,-10~-5%,2026-06
sh600276,2025-06-26 10:30:00,2025-07-28 10:30:00,52.6,60.1,14.26,32,1,>10%,2025-07
sh600276,2025-07-28 11:30:00,2025-08-08 11:30:00,60.2,60.66,0.76,11,1,0~2%,2025-08
sh600276,2025-08-13 14:00:00,2025-08-20 14:00:00,62.82,61.53,-2.05,7,0,-5~-2%,2025-08
sh600276,2025-08-25 10:30:00,2025-08-28 10:30:00,64.98,62.95,-3.12,3,0,-5~-2%,2025-08
sh600276,2025-08-29 11:30:00,2025-09-11 11:30:00,64.95,66.76,2.79,13,1,2~5%,2025-09
sh600276,2025-09-17 14:00:00,2025-09-23 14:00:00,70.49,68.72,-2.51,6,0,-5~-2%,2025-09
sh600276,2025-09-25 11:30:00,2025-09-26 11:30:00,72.36,69.37,-4.13,1,0,-5~-2%,2025-09
sh600276,2025-10-16 11:30:00,2025-10-28 11:30:00,67.63,63.98,-5.4,12,0,-10~-5%,2025-10
