没有配置要使用的数据服务，请修改全局配置中的datafeed相关内容
2026-05-21 10:05:57.692 | INFO | CtaStrategy | [thr_002149]  策略初始化: 002149.SZSE
2026-05-21 10:05:57.693 | INFO | CtaStrategy | [thr_002149]    规则: buy_zone=67.0 buy_strong=64.0 trend_break=60.0 take_profit=0.0 auto=False
2026-05-21 10:05:57.694 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002149', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:57.695 | INFO | AKSHARE | 订阅 002149.SZSE (累计 23 只)
2026-05-21 10:05:57.695 | INFO | CtaStrategy | thr_002149初始化完成
2026-05-21 10:05:59.576 | INFO | CtaStrategy | [thr_600330]  策略启动: 600330.SSE
2026-05-21 10:05:59.576 | INFO | CtaStrategy | [thr_002256]  策略启动: 002256.SZSE
2026-05-21 10:05:59.578 | INFO | CtaStrategy | [thr_002453]  策略启动: 002453.SZSE
2026-05-21 10:05:59.579 | INFO | CtaStrategy | [thr_603601]  策略启动: 603601.SSE
2026-05-21 10:05:59.579 | INFO | CtaStrategy | [thr_002428]  策略启动: 002428.SZSE
2026-05-21 10:05:59.579 | INFO | CtaStrategy | [thr_600130]  策略启动: 600130.SSE
2026-05-21 10:05:59.580 | INFO | CtaStrategy | [thr_603178]  策略启动: 603178.SSE
2026-05-21 10:05:59.581 | INFO | CtaStrategy | [thr_603986]  策略启动: 603986.SSE
2026-05-21 10:05:59.581 | INFO | CtaStrategy | [thr_301120]  策略启动: 301120.SZSE
2026-05-21 10:05:59.582 | INFO | CtaStrategy | [thr_301179]  策略启动: 301179.SZSE
2026-05-21 10:05:59.583 | INFO | CtaStrategy | [thr_600021]  策略启动: 600021.SSE
2026-05-21 10:05:59.583 | INFO | CtaStrategy | [thr_000600]  策略启动: 000600.SZSE
2026-05-21 10:05:59.584 | INFO | CtaStrategy | [thr_002067]  策略启动: 002067.SZSE
2026-05-21 10:05:59.585 | INFO | CtaStrategy | [thr_000899]  策略启动: 000899.SZSE
